,,Neighborhood Code,Neighborhood Name,Total Population,White,   Black/ African American,     American Indian and Alaska Native,      Asian,Native Hawaiian and Other Pacific Islander,  Some Other Race,,Hispanic Origin (of any race)
Brooklyn,047,BK43,Midwood,"52,835","40,482","2,508",46,"5,517",9,140,549,"3,584"
Brooklyn,047,BK44,Madison,"38,917","27,646",630,6,"7,340",5,97,504,"2,689"
Brooklyn,047,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,"45,231","33,399","4,952",47,"2,521",7,144,578,"3,583"
Brooklyn,047,BK46,Ocean Parkway South,"20,299","17,338",177,15,937,1,47,168,"1,616"
Brooklyn,047,BK50,Canarsie,"83,693","4,928","67,816",192,"2,198",8,332,"1,278","6,941"
Brooklyn,047,BK58,Flatlands,"64,762","11,793","42,935",158,"2,577",16,334,"1,196","5,753"
Brooklyn,047,BK60,Prospect Lefferts Gardens-Wingate,"67,459","6,495","51,578",155,"1,063",17,292,"1,231","6,628"
Brooklyn,047,BK61,Crown Heights North,"103,169","10,237","76,358",238,"1,926",16,374,"1,969","12,051"
Brooklyn,047,BK63,Crown Heights South,"39,670","10,221","24,921",81,285,12,127,601,"3,422"
Brooklyn,047,BK64,Prospect Heights,"19,849","9,359","5,979",34,"1,316",12,106,768,"2,275"
Brooklyn,047,BK68,Fort Greene,"26,079","7,289","11,081",67,"1,897",7,84,857,"4,797"
Brooklyn,047,BK69,Clinton Hill,"34,791","12,389","14,652",68,"1,808",10,161,"1,142","4,561"
Brooklyn,047,BK72,Williamsburg,"32,926","28,366",793,29,48,2,77,152,"3,459"
Brooklyn,047,BK73,North Side-South Side,"45,774","23,968","1,393",57,"2,227",19,183,659,"17,268"
Brooklyn,047,BK75,Bedford,"70,713","18,054","34,699",159,"1,402",47,207,"1,116","15,029"
Brooklyn,047,BK76,Greenpoint,"34,719","26,691",433,48,"1,689",10,161,588,"5,099"
Brooklyn,047,BK77,Bushwick North,"57,138","6,098","5,533",82,"3,417",11,380,582,"41,035"
Brooklyn,047,BK78,Bushwick South,"72,101","6,819","20,281",155,"1,734",21,268,809,"42,014"
Brooklyn,047,BK79,Ocean Hill,"31,935",439,"24,825",132,199,2,111,511,"5,716"
Brooklyn,047,BK81,Brownsville,"58,300",471,"44,364",165,416,18,180,703,"11,983"
Brooklyn,047,BK82,East New York,"91,958","1,240","58,453",291,"2,764",38,683,"1,237","27,252"
Brooklyn,047,BK83,Cypress Hills-City Line,"49,223","1,444","9,151",328,"5,680",30,"1,736","1,159","29,695"
Brooklyn,047,BK85,East New York (Pennsylvania Ave),"29,343",278,"20,512",63,174,15,122,334,"7,845"
Brooklyn,047,BK88,Borough Park,"106,357","81,910",794,60,"12,464",8,236,894,"9,991"
Brooklyn,047,BK90,East Williamsburg,"34,158","14,706","3,189",40,"4,354",21,115,561,"11,172"
Brooklyn,047,BK91,East Flatbush-Farragut,"50,355",753,"44,883",120,558,20,231,893,"2,897"
Brooklyn,047,BK93,Starrett City,"13,354","3,293","7,036",29,389,2,37,184,"2,384"
Brooklyn,047,BK95,Erasmus,"29,938",557,"25,166",109,529,8,117,529,"2,923"
Brooklyn,047,BK96,Rugby-Remsen Village,"55,326",506,"50,182",137,393,17,175,718,"3,198"
Brooklyn,047,BK99,park-cemetery-etc-Brooklyn,418,247,73,2,27,0,5,22,42
Manhattan,061,MN01,Marble Hill-Inwood,"46,746","7,060","4,239",64,884,5,179,458,"33,857"
Manhattan,061,MN03,Central Harlem North-Polo Grounds,"75,282","4,344","50,494",256,"1,303",20,195,"1,482","17,188"
